filename,OHS_issues,class
IMG_6583.jpg,The wall is heavily cracked from top to bottom. The wall can break and fall and injure building occupants,cracked walls
IMG_6584.jpg,The wall is heavily cracked from top to bottom and has several cracks. The wall can break and fall and injure building occupants,cracked walls
IMG_6585.jpg,There are no cracks on this wall but it's the ceiling design. There are no OHS risks,cracked walls
IMG_6586.jpg,There are multi-directional cracks on the wall which seems to be expanding. The wall can break and fall and injure building occupants,cracked walls
IMG_6587.jpg,There are no cracks on this wall but it's the wall design. There are no OHS risks,cracked walls
IMG_6588.jpg,There are no cracks on this wall but it's the ceiling design. There are no OHS risks,cracked walls
IMG_6589.jpg,There are no cracks on this wall but it's the ceiling design. There are no OHS risks,cracked walls
IMG_6591.jpg,There are multi-directional cracks on the wall which seems to be expanding but for now they seem fine. There are multi-directional cracks on the wall which seems to be expanding but for now they seem fine,cracked walls
IMG_6599.jpg,There are multi-directional cracks on the wall which seems to be expanding. The wall can break and fall and injure building occupants,cracked walls
IMG_6600.jpg,"Ceiling and walls and poles, there are multi-directional cracks on the wall which seems to be expanding. The wall can break and fall and injure building occupants",cracked walls
IMG_6602.jpg,The edge of the wall with the cracks on the corner and broken pipes. Unsafe for the asthmatic occupants as the wall paint is falling off,cracked walls
IMG_6612.jpg,The wall is starting to crack but it's not severe. There are no OHS risks yet,cracked walls
IMG_6640.jpg,"Staircases aren't well paved, the pavement is coming off and the stairs are uneven now. Pedestrians can trip and fall, which is very dangerous. ",cracked walls
IMG_6641.jpg,"The wall's plaster is coming off and the floor is uneven. Pedestrians can trip and fall, which is very dangerous. Asthmatic users are prone to being affected by the dust coming off from this wall",cracked walls
IMG_6642.jpg,The pavement is uneven and there are holes between the bricks. Someone's foot may fall in the trick and get injured while other may trip and fall,cracked walls
IMG_6644.jpg,"Downspout pipes are corroded at several parts. Poses a health risks to the people who live around and the pipe may fall any time when it's severely corroded, causing a safety risk",cracked walls
IMG_6645.jpg,There are multi-directional cracks on the wall which seems to be expanding but for now they seem fine. There are multi-directional cracks on the wall which seems to be expanding but for now they seem fine,cracked walls
IMG_6653.jpg,There is excess birds's dirt on the floor. Someone may slip when walking while it's raining on when the floor is wet. It needs to be cleaned,cracked walls
IMG_6658.jpg,"Image showing the wits buildings, sculpture and a tower. There are no OHS risks",cracked walls
IMG_6659.jpg,There's a small pipe that disposes water off to the wall directly. Over time the structure wall will be affected but there's also a health risk as people may be affected by the germs which may build up overtime,cracked walls
IMG_6660.jpg,Wits tower of lights and the surrounding trees. There are no OHS risks,cracked walls
IMG_6662.jpg,There are multi-directional cracks on the wall which seems to be expanding. The wall can break and fall and injure building occupants,cracked walls
IMG20251010121619.jpg,There are multi-directional cracks on the wall and the wall has started to fall a bit already. The wall can break and fall and injure building occupants,cracked walls
IMG20251010122009.jpg,There are severe multi-directional cracks on the wall and the wall has started to fall a bit already. The wall can break and fall and injure building occupants,cracked walls
train_5.jpg,There are severe multi-directional cracks on the wall and the wall has started to fall a bit already. The wall can break and fall and injure building occupants,cracked walls
train_219.jpg,There is a single long crack on the ceiling. Unsafe for the asthmatic occupants as the wall paint is falling off,cracked walls
train_449.jpg,There is a single long crack on the ceiling. Unsafe for the asthmatic occupants as the wall paint is falling off,cracked walls
IMG_6597.jpg,Windows with the protective metalic burglary guards. There are no OHS risks,cracked windows
IMG_6598.jpg,Windows with the protective metalic burglary guards also showing opened windows. There are no OHS risks,cracked windows
IMG_6601.jpg,metalic burglary guards. There are no OHS risks,cracked windows
IMG_6606.jpg,framed portrait on the wall. There are no OHS risks,cracked windows
IMG_6607.jpg,framed portrait and two framed certificates on the wall. There are no OHS risks,cracked windows
IMG_6663.jpg,Oval shaped window  with paint falling off the wall. There are no OHS risks,cracked windows
IMG20251010122840.jpg,Three windows with multiple cracks. Safety hard as building occupants or people walking outside may be injured,cracked windows
IMG20251010122850.jpg,Two windows with multiple cracks. Safety hard as building occupants or people walking outside may be injured,cracked windows
IMG20251010123142.jpg,One window with multiple cracks. Safety hard as building occupants or people walking outside may be injured,cracked windows
IMG_6590.jpg,small electrical wire laying on the floor. The wire is not connected and therefore no electricity is conducted.There are no occupational health and safety risks on the image,Electrical risks
IMG_6592.jpg,image shows an electrical appliance connected to an electrical wall socket. There are no occupational health and safety risks on the image,Electrical risks
IMG_6595.jpg,image shows an electrical appliance connected to an electrical wall socket with two water bottles. There are no occupational health and safety risks on the image,Electrical risks
IMG_6603.jpg,A hole at the top conner of the building with an exposed electrical wire. If someone were to accidentally touch he/she would be electrocuted.,Electrical risks
IMG_6604.jpg,"the image shows a neatly connected electrical system, with a appliances connected to an electrical wall socket. There are no occupational health and safety risks on the image",Electrical risks
IMG_6605.jpg,"the image shows a neatly connected electrical system, with a appliances connected to an electrical wall socket. There are no occupational health and safety risks on the image",Electrical risks
IMG_20251011-WA0007.jpg,"the image shows a neatly connected electrical system, with a appliances connected to an electrical wall socket. There are no occupational health and safety risks on the image",Electrical risks
IMG_20251011-WA0024.jpg,"the image shows a neatly connected electrical system, with a appliances connected to an electrical wall socket. There are no occupational health and safety risks on the image",Electrical risks
IMG20251010121523.jpg,"the image shows a loosey hanging electrical light bulb, disconnected from its original position. With heavy wind, this could injure a person standing beside it or sitting below it.",Electrical risks
IMG20251010121525.jpg,"the image shows a loosey hanging electrical light bulb, disconnected from its original position. With heavy wind, this could injure a person standing beside it or sitting below it.",Electrical risks
train_1.jpg,"Bundle of electrical wires wrapped together. The wires seems to be conducting electricity. if two wires from different connections were to have exposed conductors and touch, it would cause an electrical hazard the could lead to fire hazard.",Electrical risks
train_103.jpg,the image shows a damaged electrical wall socket with exposed electrical wires. A person might get electrocuted while trying to connect an appliance on it.,Electrical risks
train_175.jpg,"the image shows a neatly connected electrical system, with a appliances connected to an electrical wall socket. There are no occupational health and safety risks on the image",Electrical risks
train_180.jpg,An electrical plug laying on the ground with a couple of electrical appliances connected on it. This could trip a person walking by and water could be easily spilled on it and both could lead to damage to the system.,Electrical risks
train_427.,an electrical wire laying on the ground connected to an electrical plug. This could trip a person walking by and water could be easily spilled on it and both could lead to damage to the system.,Electrical risks
train_463.jpg,Bundle of electrical wires and plugs laying on the floor. This could trip someone walking by and if one of the plugs could catch fire due to overload could easily be propagated to other plugs causing a fire hazard.,Electrical risks
IMG_6610.jpg,"the image shows and uneven pavement, this is probably due to construction decisions. Pedestrians may stumble due to irregular pavement levels, especially those with mobility difficult.",Uneven Pavements
IMG_6611.jpg,"An uneven manhole cover is present, which appears to be slightly raised compared to the surrounding paving, causing noticeable bump in the surface. pedestrains may trip and fall, especially those with mobility difficulties or when visibility is low. The uneven level can cause jolts to vehicles, potentially leading to tire or suspension damage.",Uneven Pavements
IMG_6613.jpg,"Cracks have developed on the road, leading to uneven and raised surface sections. The area shows visible transverse cracks, with some sections having seperated. Pedestrians may trip or lose balance due to the irregular or raised edges of the cracks.",Uneven Pavements
IMG_6614.jpg,"the image shows a smooth, well mantained road with no signs of cracks or unevenness. There are no occupational health and safety risks on the image",Uneven Pavements
