class,image,output
Cracked Walls,IMG20251010121619.jpg,In this image we can see a wall
Cracked Walls,IMG20251010122009.jpg,There are three open windows on the upper floor of a building. The windows are open to the left. The building is off-white and has a horizontal line just above the second window from the top. There is a horizontal line with three small black dots above that line. The line with the dots is below the third window from the top. The building has a large vertical crack that runs from the second window from the top to the bottom of the image
Cracked Walls,IMG_6583.JPG,"1. Cracked and damaged concrete structure: The horizontal concrete beam at the top of the image is cracked and shows signs of damage. This could be a safety concern as it may indicate a structural issue that could lead to further deterioration or even collapse. Cracked concrete can weaken the overall structure and make it more susceptible to damage from weather conditions, weight, or other external factors. If not addressed, this could pose a risk to people and property. 2. Water damage: There is water damage visible on the concrete beam, which could be due to leaks or poor waterproofing. Water damage can weaken the concrete, cause it to crack"
Cracked Walls,IMG_6584.JPG,"1. Cracked wall: There is a noticeable horizontal crack in the wall, which could be a sign of structural damage or settling. Cracks in walls can be caused by a variety of factors, including settling foundations, water damage, or poor construction. If the crack is wide or growing, it may indicate a more serious issue that requires professional attention"
Cracked Walls,IMG_6585.JPG,In this image we can see a wall
Cracked Walls,IMG_6586.JPG,"**Image Description:** The image depicts a concrete surface that appears to be a horizontal slab or platform. The concrete is of a light grey color and has a rough, textured surface. The slab is cracked in several places, with multiple visible fractures running across its length. These cracks are not uniform and vary in width and depth, indicating the concrete has undergone some stress or wear over time. The cracks are not perfectly straight and have jagged edges, suggesting that the concrete has settled or shifted slightly since it was laid. The concrete slab is bordered by a metal railing on the top edge. The railing is black and appears to be made of"
Cracked Walls,IMG_6587.JPG,In this image we can see a wall
Cracked Walls,IMG_6588.JPG,1. There are exposed edges of plaster boards that can cause injuries. 2. The wires hanging from the ceiling can cause electrocution
Cracked Walls,IMG_6589.JPG,"In this, a fairly close-up, eye-level, full shot, the corner of a white ceiling meets the corner of an off-white wall. The ceiling has two parallel beams that create a sort of T shape with the corner of the ceiling and the corner of the wall. The wall extends beyond the field of view"
Cracked Walls,IMG_6591.JPG,1. Cracked wall
Cracked Walls,IMG_6599.JPG,"There is a red sign on the wall that says ""NOTICE"" and has an arrow pointing down, but the rest of the message is cut off"
Cracked Walls,IMG_6600.JPG,1. There is a risk of falling from the top of the building. 2. There is a risk of injury from the sharp edges of the metal frame. 3. There is a risk of injury from the broken glass
Cracked Walls,IMG_6602.JPG,Cracks in the wall
Cracked Walls,IMG_6612.JPG,1. There are small insects on the wall which may be a health hazard if they are carrying diseases. 2. The wall is cracked which may be a structural issue
Cracked Walls,IMG_6640.JPG,There is a broken wall in the image
Cracked Walls,IMG_6641.JPG,"1. There are two people standing on the right side of the image. They are wearing hard hats and high visibility vests. One of them is holding a metal rod. They are standing on a metal platform that is above the ground. The platform is surrounded by a metal railing. The people are looking down at the ground. 2. There is a large concrete structure in the image. It has a rough texture and appears to be old and damaged. There are cracks and holes in the concrete, and some of the concrete has fallen away, revealing the bricks beneath. The bricks are red and brown, and they are also in poor"
Cracked Walls,IMG_6642.JPG,"1. The manhole cover is not securely fastened to the ground, which could be a tripping hazard"
Cracked Walls,IMG_6644.JPG,"1. Unprotected open window on the second floor: The window on the second floor of the building is open, which could pose a risk if someone were to fall from it. This is a potential hazard, especially if there are people or objects near the window that could be affected by a fall. 2. Unsecured outdoor pipes: The white pipes on the exterior of the building are not secured properly. They are not anchored to the building, which could cause them to become dislodged during strong winds or other external forces. This could lead to damage to the building or injury to people below. 3. Lack of safety rail"
Cracked Walls,IMG_6645.JPG,Cracks in the wall
Cracked Walls,IMG_6653.JPG,1. A hole in the brick wall could be a tripping hazard. 2. The brick wall is in poor repair
Cracked Walls,IMG_6658.JPG,1. There are people standing on the top of the building which is dangerous. 2. There are no safety railings on the top of the building. 3. There are people standing on the top of the building which is dangerous
Cracked Walls,IMG_6659.JPG,"1. There is a small piece of wood or plastic that is about 1 cm by 2.5 cm in size, and it is brownish gray in color, and it is on a larger grayish white surface that has a fine diagonal line pattern"
Cracked Walls,IMG_6660.JPG,"1. There is a lack of personal protective equipment (PPE) for the person standing on the ladder. The person is not wearing a harness or safety glasses, which could lead to injuries in case of a fall. 2. The ladder is not secured to the structure, which could cause it to slip or fall, leading to accidents. 3. The person is standing on a metal surface without any safety measures, which could result in electrocution or falls. 4. There are no warning signs or barriers to prevent unauthorized access to the area, which could lead to accidents or injuries. 5. The structure is"
Cracked Walls,IMG_6662.JPG,"1. There is a visible crack in the concrete, which could be a tripping hazard. 2. The window frame is not secure, which could allow water to enter and cause damage to the building. 3. The blue paint on the column is peeling, which could be a sign of poor maintenance"
Cracked Walls,train_219.jpg,In this image we can see a wall
Cracked Walls,train_449.jpg,"1. Cracked wall: The wall in the image has multiple cracks, which could be a sign of structural issues or water damage. Cracks in walls can be caused by a variety of factors, including settling foundations, poor construction, or water seepage. If left unaddressed, these cracks can lead to further damage, such as wall collapse or the growth of mold and mildew"
Cracked Walls,train_5.jpg,"In the lower left corner of the image, a white wall or piece of furniture has a long, vertical crack in it. The crack appears to have been there for a long time, as the edges of the crack are old and worn. The wall around the crack is old and dirty, with old paint or residue flaking off of it in some areas. A small portion of a dark-colored window or door frame is just visible in the upper left corner of the image"
Cracked Windows,IMG20251010122840.jpg,There are two windows in the image
Cracked Windows,IMG20251010122850.jpg,There are no OHS issues present in the image
Cracked Windows,IMG20251010123142.jpg,1. There is a large window that is missing a pane
Cracked Windows,IMG_6597.JPG,"In this image we can see a glass window. Through the glass window we can see trees, poles, lights and sky. On the left side of the image we can see a box and a printer"
Cracked Windows,IMG_6598.JPG,"1. There is a gap between the door and the frame which could allow entry of rodents or other pests.
2. The door is not closed which could be a tripping hazard"
Cracked Windows,IMG_6601.JPG,"1. There is a lack of personal protective equipment (PPE) for the workers. 2. There are no safety guards on the machinery. 3. The work area is cluttered, which can lead to tripping hazards"
Cracked Windows,IMG_6606.JPG,The frame is crooked
Cracked Windows,IMG_6607.JPG,"In this image we can see a wall, on the wall there are photo frames"
Cracked Windows,IMG_6663.JPG,"1. **Lighting**: The light fixture on the wall appears to be a standard wall-mounted light, likely an electric light bulb. The light is not currently illuminated, as there is no visible glow or light source emanating from it. The light fixture is affixed to the wall, which is painted a light grey or beige color. The wall has a smooth texture, and there are no visible cracks or damage. The light fixture is rectangular in shape and has a simple design, with a small, circular bulb cover. 2. **Window**: The main focus of the image is a large, semi-circular window that occupies the"
Exposed wires,IMG-20251011-WA0007.jpg,"1. There is a live electrical box with a red reset button against the wall. The cord from this box runs along the wall and is not secured. This presents a tripping hazard and a risk of damage to the cord. 2. There is a white box against the wall that is not clearly identifiable. It is not clear what this box is for, but it is not secured to the wall, which could lead to it falling and causing injury or damage. 3. The floor is not clean, with visible dirt and dust, which could lead to slips, trips, and falls. 4. There is a black"
Exposed wires,IMG-20251011-WA0024.jpg,"1. There is a live electrical socket near the floor.
2. There is a black wire connected to the socket"
Exposed wires,IMG20251010121523.jpg,1. There is a pipe protruding from the wall that could be a tripping hazard
Exposed wires,IMG20251010121525.jpg,"1. Unstable scaffolding: The scaffolding in the image appears to be leaning and unstable, which could pose a risk to workers or passersby. This could be due to improper assembly, inadequate support, or damage to the structure. To address this, ensure that scaffolding is erected and dismantled by qualified professionals, and regularly inspect it for any signs of damage or instability. Additionally, ensure that all workers using the scaffolding are properly trained and equipped with safety gear. 2. Exposed wiring: The exposed wiring in the image could be a fire hazard or an electrical shock risk. This could be due to damaged or"
Exposed wires,IMG_6590.JPG,In this image we can see a wire
Exposed wires,IMG_6592.JPG,"1. There is a live electrical socket with a black cable plugged in. The cable is not secured and is hanging loose. This could be a tripping hazard and could also cause the cable to get damaged or the plug to get pulled out of the socket. 2. The socket is not covered by a safety switch or a residual current device (RCD). This means that if there is a fault in the wiring, there is no protection against electric shock. 3. The socket is not installed in a way that is compliant with the electrical safety standards. The cable is not secured to the wall and the socket is not protected"
Exposed wires,IMG_6594.JPG,1. There is a water cooler in the room
Exposed wires,IMG_6595.JPG,1. There is a live electrical socket near the water bottles
Exposed wires,IMG_6603.JPG,"In the corner of a room, a circular hole has been cut into the drywall. The edges of the hole are not smooth, and the paper surrounding the hole is peeled back. A single screw is visible in the center of the hole, with a piece of wire attached to it. The corner of a door or other piece of wood is on the left of the hole. The wall is an off-white color"
Exposed wires,IMG_6604.JPG,There are two electrical sockets on a wall
Exposed wires,IMG_6605.JPG,"In the image, there is an electrical socket with a red button on the left side of the wall. The socket has two white buttons above the red button. There is a white plastic box with a black cord attached to it, located below the socket. The box has a small white object on its top. A white pipe runs vertically from the top of the image to the bottom, passing through the socket and the box. The wall is painted in a light color with visible horizontal lines. The image is taken from a slightly low angle, and the lighting is soft, casting gentle shadows on the wall"
Exposed wires,IMG_6609.JPG,In the center of the image there is a wall. On the wall there are holes
Exposed wires,train_1.jpg,"1. Unsecured electrical wires: The electrical wires are not properly secured to the wall, which could lead to accidents or injuries if they were to fall or get damaged. This is a violation of OHS regulations, which require that electrical wiring be safely installed and maintained. 2. Exposed wiring: The exposed wiring is a safety hazard as it can be easily damaged, leading to electrical shock or fire. OHS regulations require that all electrical wiring be properly insulated and protected. 3. Poorly maintained wall: The wall appears to be in poor condition, with visible cracks and damage. This could lead to structural instability, which is a"
Exposed wires,train_103.jpg,1. Exposed wires
Exposed wires,train_175.jpg,"1. Overloaded electrical outlets with too many cords and adapters.
2. Cords are not secured, posing a tripping hazard.
3. Adapters are not used on surge protectors, which can cause overheating and fires.
4. Cords are not organized, making it difficult to identify which cord goes to which device.
5. The power strip is not plugged into a grounded outlet, which can cause electrical shock. To address these issues, the following actions can be taken:
1. Unplug and reorganize the cords to reduce the number of adapters and ensure they are not overloaded.
2. Use surge protectors"
Exposed wires,train_180.jpg,"1. There are exposed wires on the floor which can cause tripping or electrocution.
2. The extension cord is placed on the floor which can cause tripping or fire hazard.
3. The power outlet is not covered which can cause electrical shock"
Exposed wires,train_414.jpg,"1. There are exposed wires in the image which can cause electrical shock if not handled properly.
2. There are multiple electrical devices plugged into a single power outlet which can cause overloading and electrical shock.
3. There are extension cords and power strips in the image which can be a fire hazard if not used properly.
4. There are tools and equipment in the image which can cause injury if not handled properly.
5. There are boxes and containers in the image which can cause tripping and falling hazards if not placed properly"
Exposed wires,train_427.jpg,"A narrow vertical shot shows a cable plugged into a white rectangular device that is sitting on a shiny off-white linoleum floor. The cable snakes off to the right. There is a strong reflection of fluorescent lighting on the floor, and the lines of the tiles are slightly reflective too. In the upper left corner, there is a reflection of a wooden chair and a wooden table"
Exposed wires,train_463.jpg,"**Potential OHS Issues:** 1. **Electrical Shock Hazard:** - **Description:** The image depicts a tangled mass of electrical cords and plugs, which can lead to electrical shock hazards. The cords are jumbled together, making it difficult to identify which plug belongs to which device. This can cause confusion and increase the risk of electrical shock if someone accidentally plugs in the wrong cord or if a cord is damaged. - **Solution:** Ensure that cords are organized and labeled clearly. Use surge protectors or extension cords with built-in circuit breakers to prevent overloading and reduce the risk of electrical shock. 2. **"
Fall risks,IMG-20251011-WA0003.jpg,1. There are no handrails on the stairs
Fall risks,IMG-20251011-WA0017.jpg,1. The stairs are uneven and could cause a fall. 2. There is no railing to hold onto while walking up or down the stairs
Fall risks,IMG-20251011-WA0018.jpg,1. There is a hole in the road
Fall risks,IMG-20251011-WA0021.jpg,"1. The stairs are uneven and have gaps between them, which could cause a person to trip or fall. 2. There are loose bricks on the stairs, which could also cause a person to trip or fall. 3. There is no handrail on the stairs, which could make it difficult for a person to hold onto while climbing or descending"
Fall risks,IMG-20251011-WA0025.jpg,"1. There are no handrails on the left side of the stairs, which could cause someone to fall. 2. The steps are uneven and could cause someone to trip"
Fall risks,IMG-20251011-WA0026.jpg,"1. There are no handrails on the left side of the stairs, which could cause someone to fall. 2. The stairs are very steep, which could cause someone to trip or fall. 3. There is a large gap between the steps, which could cause someone to trip or fall"
Fall risks,IMG_6608.JPG,In the image there is a building with a wall and a staircase
Fall risks,IMG_6620.JPG,"In the image, there are uneven stone steps that are worn and weathered, with visible cracks and discoloration. The steps are made of a dark, coarse material, possibly a type of bluestone or similar hard, dense rock. The surface of the steps is not smooth, with a rough texture that suggests they have been exposed to the elements for a long time. Some of the steps have a white residue or mineral deposits, which adds to their aged appearance. The steps are not uniformly aligned, and their edges are not perfectly straight, indicating they may have been laid by hand rather than by machine. On the right side of"
Fall risks,IMG_6621.JPG,"In this image we can see a fence, wall, ground and some leaves"
